ticker,description,type,mic,adv,n_bars,last_price
CTNM,CONTINEUM THERAPEUTICS INC-A,Common Stock,XNAS,4769729.903411865,276,16.549999237060547
NXDR,NEXTDOOR HOLDINGS INC,Common Stock,XNYS,4771672.566549301,276,2.200000047683716
RBB,RBB BANCORP,Common Stock,XNAS,4786524.846839905,276,25.8700008392334
ORRF,ORRSTOWN FINL SERVICES INC,Common Stock,XNAS,4792317.48085022,276,41.279998779296875
CGNT,COGNYTE SOFTWARE LTD,Common Stock,XNAS,4829633.876895905,276,8.4399995803833
CAAP,CORP AMERICA AIRPORTS SA,Common Stock,XNYS,4865345.22151947,276,23.09000015258789
FWDI,FORWARD INDUSTRIES INC,Common Stock,XNAS,4891184.007644653,276,6.210000038146973
CAC,CAMDEN NATIONAL CORP,Common Stock,XNAS,4896093.014144897,276,56.16999816894531
AREC,AMERICAN RESOURCES CORP,Common Stock,XNAS,4905027.965807915,276,2.309999942779541
FATE,FATE THERAPEUTICS INC,Common Stock,XNAS,4916288.909196854,276,2.430000066757202
EOLS,EVOLUS INC,Common Stock,XNAS,4955290.5208826065,276,9.079999923706055
