cik,ticker,all_tickers,issuer_edgar,name_source,name_match,form,form25_date,exchange_now,first_bar,last_bar,bars_total,bars_after_form25,status
1801417,BYNO,BYNO|BYNOU|BYNOW,byNordic Acquisition Corp,byNordic Acquisition Corporation,True,25-NSE,2025-06-23,OTC Markets OTCPK,2022-04-05,2026-09-04,1109,304,otc-continuation
839122,DMF,DMF,"BNY MELLON MUNICIPAL INCOME, INC.",,False,25-NSE,2025-06-23,http:404,,,0,0,no-data
1874074,MMVVF,MMVVF,MultiMetaVerse Holdings Ltd,MultiMetaVerse Holdings Limited,True,25-NSE,2025-06-23,OTC Markets OTCPK,2023-01-06,2026-09-04,919,304,otc-continuation
1850453,MOYFF,MOYFF|MYNAY,Mynaric AG,,False,25-NSE,2025-06-23,http:404,,,0,0,no-data
315131,PHX,PHX,PHX MINERALS INC.,,False,25-NSE,2025-06-23,http:404,,,0,0,no-data
929008,WCC,WCC|WCC-PA,WESCO INTERNATIONAL INC,"WESCO International, Inc.",True,25-NSE,2025-06-23,NYSE,2021-09-07,2026-09-04,1255,304,still-listed
1947861,NMHI,NMHI|NMHIW,Nature's Miracle Holding Inc.,Nature's Miracle Holding Inc.,True,25-NSE,2025-06-24,OTC Markets OTCPK,2022-04-14,2026-09-04,1102,303,otc-continuation
1210618,SPIEF,SPIEF,"SPI Energy Co., Ltd.",,False,25-NSE,2025-06-25,http:404,,,0,0,no-data
95552,SUP,SUP,SUPERIOR INDUSTRIES INTERNATIONAL INC,,False,25-NSE,2025-06-25,http:404,,,0,0,no-data
1392994,FGB,FGB,FIRST TRUST SPECIALTY FINANCE & FINANCIAL OPPORTUNITIES FUND,,False,25-NSE,2025-06-30,http:404,,,0,0,no-data
1593548,AGS,AGS,"PlayAGS, Inc.",,False,25-NSE,2025-07-01,http:404,,,0,0,no-data
1782754,AZEK,AZEK,AZEK Co Inc.,,False,25-NSE,2025-07-01,http:404,,,0,0,no-data
1318568,EVRI,EVRI,Everi Holdings Inc.,,False,25-NSE,2025-07-01,http:404,,,0,0,no-data
1159152,JHX,JHX|JHIUF,James Hardie Industries plc,James Hardie Industries plc,True,25-NSE,2025-07-01,NYSE,2021-09-07,2026-09-04,1255,298,still-listed
1043604,JNPR,JNPR,JUNIPER NETWORKS INC,,False,25-NSE,2025-07-02,http:404,,,0,0,no-data
1858007,GDST,GDST|GDSTR|GDSTU|GDSTW,Goldenstone Acquisition Ltd.,Chi Special Acquisition Corp.,True,25-NSE,2025-07-08,OTC Markets OTCPK,2022-04-14,2026-09-04,1102,294,otc-continuation
2009684,SEG,SEG,Seaport Entertainment Group Inc.,Seaport Entertainment Group Inc.,True,25,2025-07-08,NYSE,2024-07-30,2026-09-04,528,294,still-listed
1883984,ALCE,ALCE|ACLEW,"Alternus Clean Energy, Inc.",Alternus Clean Energy Inc,True,25-NSE,2025-07-09,OTC Markets OTCPK,2026-07-17,2026-09-04,36,36,otc-continuation
1599407,EFSH,EFSH,1847 Holdings LLC,,False,25-NSE,2025-07-09,http:404,,,0,0,no-data
1845550,PLMJF,PLMJF|PLMUF|PLMWF,Plum Acquisition Corp. III,Plum Acquisition Corp III,True,25-NSE,2025-07-10,OTC Markets OTCPK,2026-07-17,2026-09-04,36,36,otc-continuation
1691936,SNAX,SNAX|SNAXW,"STRYVE FOODS, INC.","Stryve Foods, Inc.",True,25-NSE,2025-07-10,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,292,otc-continuation
1492674,TTOO,TTOO,"T2 Biosystems, Inc.","T2 Biosystems, Inc.",True,25-NSE,2025-07-10,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,292,otc-continuation
1061027,VIRX,VIRX,"Viracta Therapeutics, Inc.",,False,25-NSE,2025-07-10,http:404,,,0,0,no-data
1133818,BPTH,BPTH,"BIO-PATH HOLDINGS, INC.","Bio-Path Holdings, Inc.",True,25-NSE,2025-07-11,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,291,otc-continuation
1889450,FTII,FTII|FTIIU|FTIIW,FutureTech II Acquisition Corp.,FutureTech II Acquisition Corp.,True,25-NSE,2025-07-11,OTC Markets OTCPK,2022-04-08,2026-09-04,1106,291,otc-continuation
1893311,LUXH,LUXH|LUXHP,LUXURBAN HOTELS INC.,,False,25-NSE,2025-07-11,http:404,,,0,0,no-data
1892747,VMCAF,VMCAF|VMCUF|VMCWF,Valuence Merger Corp. I,Valuence Merger Corp. I,True,25-NSE,2025-07-11,OTC Markets OTCPK,2025-03-11,2026-09-04,375,291,otc-continuation
1913577,DNQAF,DNQAF|DNQUF|DNQWF,Denali Capital Acquisition Corp.,,False,25-NSE,2025-07-14,http:404,,,0,0,no-data
1363829,ESGR,ESGR|ESGRO|ESGRP,Enstar Group LTD,,False,25,2025-07-14,http:404,,,0,0,no-data
1852889,IVAUF,IVAUF|IVAWF|IVCAF,Investcorp AI Acquisition Corp.,Libity,False,25-NSE,2025-07-14,OTC Markets OTCPK,2022-05-10,2026-09-04,1085,290,identity-mismatch
1882464,MSSAF,MSSAF|MSSRF|MSSUF|MSSWF,Metal Sky Star Acquisition Corp,Metal Sky Star Acquisition Corporation,True,25-NSE,2025-07-14,OTC Markets OTCPK,2022-05-31,2026-09-04,1071,290,otc-continuation
1907730,YOTA,YOTA|YOTAR|YOTAU|YOTAW,Yotta Acquisition Corp,Yotta Acquisition Corporation,True,25-NSE,2025-07-14,OTC Markets OTCPK,2022-06-27,2026-09-04,1053,290,otc-continuation
1903392,CLRCF,CLRCF|CLRRF|CLRUF|CLRWF,ClimateRock,ClimateRock,True,25-NSE,2025-07-15,OTC Markets OTCPK,2022-06-02,2026-09-04,1069,289,otc-continuation
1889112,REEUF,REEUF|REEWF|RENEF,Cartesian Growth Corp II,Cartesian Growth Corporation II,True,25-NSE,2025-07-15,OTC Markets OTCPK,2022-05-06,2026-09-04,1087,289,otc-continuation
1973368,SVUHF,SVUHF|SVUWF,SRIVARU Holding Ltd,SRIVARU Holding Limited,True,25-NSE,2025-07-15,OTC Markets OTCPK,2022-09-27,2026-09-04,989,289,otc-continuation
