event_id,ticker,event_type,event_ts,entry_date,exit_date,horizon,event_ret,control,control_ret,abnormal_ret
f4_LAW_2026-03-04,LAW,form4_cluster_buy,2026-03-04T00:00:00,2026-03-05,2026-04-06,21,-0.194444,SPY,-0.030207,-0.164237
f4_SLRC_2026-03-05,SLRC,form4_cluster_buy,2026-03-05T00:00:00,2026-03-06,2026-04-07,21,0.041059,SPY,-0.016895,0.057953
f4_NCDL_2026-03-06,NCDL,form4_cluster_buy,2026-03-06T00:00:00,2026-03-09,2026-04-08,21,0.033548,SPY,-0.00061,0.034159
f4_NMFC_2026-03-06,NMFC,form4_cluster_buy,2026-03-06T00:00:00,2026-03-09,2026-04-08,21,0.042895,SPY,-0.00061,0.043506
f4_LYEL_2026-03-09,LYEL,form4_cluster_buy,2026-03-09T00:00:00,2026-03-10,2026-04-09,21,-0.06945,SPY,0.006773,-0.076223
f4_TKNO_2026-03-09,TKNO,form4_cluster_buy,2026-03-09T00:00:00,2026-03-10,2026-04-09,21,0.081395,SPY,0.006773,0.074622
f4_SSP_2026-03-10,SSP,form4_cluster_buy,2026-03-10T00:00:00,2026-03-11,2026-04-10,21,-0.014388,SPY,0.007372,-0.02176
f4_TCPC_2026-03-10,TCPC,form4_cluster_buy,2026-03-10T00:00:00,2026-03-11,2026-04-10,21,0.068469,SPY,0.007372,0.061097
f4_EML_2026-03-11,EML,form4_cluster_buy,2026-03-11T00:00:00,2026-03-12,2026-04-13,21,0.082604,SPY,0.032901,0.049704
f4_COFS_2026-03-12,COFS,form4_cluster_buy,2026-03-12T00:00:00,2026-03-13,2026-04-14,21,0.114495,SPY,0.051438,0.063058
f4_KRRO_2026-03-12,KRRO,form4_cluster_buy,2026-03-12T00:00:00,2026-03-13,2026-04-14,21,0.088281,SPY,0.051438,0.036844
f4_BWFG_2026-03-13,BWFG,form4_cluster_buy,2026-03-13T00:00:00,2026-03-16,2026-04-15,21,0.115246,SPY,0.049058,0.066187
f4_ADV_2026-03-13,ADV,form4_cluster_buy,2026-03-13T00:00:00,2026-03-16,2026-04-15,21,0.45982,SPY,0.049058,0.410762
f4_AVBC_2026-03-13,AVBC,form4_cluster_buy,2026-03-13T00:00:00,2026-03-16,2026-04-15,21,0.077963,SPY,0.049058,0.028904
f4_ALTG_2026-03-16,ALTG,form4_cluster_buy,2026-03-16T00:00:00,2026-03-17,2026-04-16,21,0.042553,SPY,0.048877,-0.006324
f4_GRNT_2026-03-16,GRNT,form4_cluster_buy,2026-03-16T00:00:00,2026-03-17,2026-04-16,21,0.011299,SPY,0.048877,-0.037578
f4_OSUR_2026-03-16,OSUR,form4_cluster_buy,2026-03-16T00:00:00,2026-03-17,2026-04-16,21,0.077181,SPY,0.048877,0.028304
f4_SENS_2026-03-16,SENS,form4_cluster_buy,2026-03-16T00:00:00,2026-03-17,2026-04-16,21,0.043143,SPY,0.048877,-0.005734
f4_AEYE_2026-03-17,AEYE,form4_cluster_buy,2026-03-17T00:00:00,2026-03-18,2026-04-17,21,0.225862,SPY,0.076576,0.149286
f4_FOA_2026-03-17,FOA,form4_cluster_buy,2026-03-17T00:00:00,2026-03-18,2026-04-17,21,0.331432,SPY,0.076576,0.254856
f4_SCM_2026-03-17,SCM,form4_cluster_buy,2026-03-17T00:00:00,2026-03-18,2026-04-17,21,0.060178,SPY,0.076576,-0.016397
f4_SDHC_2026-03-17,SDHC,form4_cluster_buy,2026-03-17T00:00:00,2026-03-18,2026-04-17,21,0.074683,SPY,0.076576,-0.001893
f4_WHF_2026-03-17,WHF,form4_cluster_buy,2026-03-17T00:00:00,2026-03-18,2026-04-17,21,0.036986,SPY,0.076576,-0.039589
f4_GCBC_2026-03-18,GCBC,form4_cluster_buy,2026-03-18T00:00:00,2026-03-19,2026-04-20,21,0.059116,SPY,0.077077,-0.017962
f4_ARQ_2026-03-19,ARQ,form4_cluster_buy,2026-03-19T00:00:00,2026-03-20,2026-04-21,21,0.115578,SPY,0.085588,0.02999
f4_KLC_2026-03-23,KLC,form4_cluster_buy,2026-03-23T00:00:00,2026-03-24,2026-04-23,21,0.541667,SPY,0.084617,0.45705
f4_INSE_2026-03-27,INSE,form4_cluster_buy,2026-03-27T00:00:00,2026-03-30,2026-04-29,21,0.007194,SPY,0.125971,-0.118777
f4_TGEN_2026-03-27,TGEN,form4_cluster_buy,2026-03-27T00:00:00,2026-03-30,2026-04-29,21,0.642276,SPY,0.125971,0.516305
