event_id,ticker,event_type,event_ts,entry_date,exit_date,horizon,event_ret,control,control_ret,abnormal_ret,exit_status
f4_FOSL_2025-11-24,FOSL,form4_cluster_buy,2025-11-24T00:00:00,2025-11-25,2026-02-27,63,0.586441,SPY,0.019254,0.567186,ok
f4_NTHI_2025-11-24,NTHI,form4_cluster_buy,2025-11-24T00:00:00,2025-11-25,2026-02-27,63,0.156109,SPY,0.019254,0.136854,ok
f4_MLP_2025-11-26,MLP,form4_cluster_buy,2025-11-26T00:00:00,2025-11-28,2026-03-03,63,0.060568,SPY,-0.001536,0.062104,ok
f4_TPVG_2025-12-05,TPVG,form4_cluster_buy,2025-12-05T00:00:00,2025-12-08,2026-03-11,63,-0.182934,SPY,-0.007755,-0.175179,ok
f4_BWFG_2025-12-08,BWFG,form4_cluster_buy,2025-12-08T00:00:00,2025-12-09,2026-03-12,63,-0.014662,SPY,-0.021978,0.007316,ok
f4_SRZN_2025-12-08,SRZN,form4_cluster_buy,2025-12-08T00:00:00,2025-12-09,2026-03-12,63,0.171946,SPY,-0.021978,0.193924,ok
f4_JFB_2025-12-10,JFB,form4_cluster_buy,2025-12-10T00:00:00,2025-12-11,2026-03-16,63,0.192661,SPY,-0.026355,0.219016,ok
f4_OFLX_2025-12-12,OFLX,form4_cluster_buy,2025-12-12T00:00:00,2025-12-15,2026-03-18,63,-0.073092,SPY,-0.025481,-0.047611,ok
f4_CJMB_2025-12-15,CJMB,form4_cluster_buy,2025-12-15T00:00:00,2025-12-16,2026-03-19,63,0.073446,SPY,-0.025219,0.098665,ok
f4_VRA_2025-12-15,VRA,form4_cluster_buy,2025-12-15T00:00:00,2025-12-16,2026-03-19,63,0.658986,SPY,-0.025219,0.684205,ok
f4_BCIC_2025-12-16,BCIC,form4_cluster_buy,2025-12-16T00:00:00,2025-12-17,2026-03-20,63,-0.377682,SPY,-0.028503,-0.349179,ok
f4_HYPD_2025-12-22,HYPD,form4_cluster_buy,2025-12-22T00:00:00,2025-12-23,2026-03-26,63,-0.069333,SPY,-0.059754,-0.00958,ok
f4_GTE_2025-12-22,GTE,form4_cluster_buy,2025-12-22T00:00:00,2025-12-23,2026-03-26,63,1.076191,SPY,-0.059754,1.135944,ok
f4_BOC_2025-12-30,BOC,form4_cluster_buy,2025-12-30T00:00:00,2025-12-31,2026-04-02,63,-0.002425,SPY,-0.035633,0.033208,ok
f4_LMNR_2026-01-09,LMNR,form4_cluster_buy,2026-01-09T00:00:00,2026-01-12,2026-04-14,63,-0.03214,SPY,0.001721,-0.033862,ok
f4_ACRV_2026-01-16,ACRV,form4_cluster_buy,2026-01-16T00:00:00,2026-01-20,2026-04-21,63,-0.102041,SPY,0.041948,-0.143988,ok
f4_IMRX_2026-01-16,IMRX,form4_cluster_buy,2026-01-16T00:00:00,2026-01-20,2026-04-21,63,0.161088,SPY,0.041948,0.11914,ok
f4_ISBA_2026-01-23,ISBA,form4_cluster_buy,2026-01-23T00:00:00,2026-01-26,2026-04-27,63,-0.154887,SPY,0.035213,-0.1901,ok
f4_NWFL_2026-01-29,NWFL,form4_cluster_buy,2026-01-29T00:00:00,2026-01-30,2026-05-01,63,0.024999,SPY,0.044291,-0.019292,ok
f4_THM_2026-01-30,THM,form4_cluster_buy,2026-01-30T00:00:00,2026-02-02,2026-05-04,63,-0.056911,SPY,0.035319,-0.092229,ok
f4_CMTV_2026-02-05,CMTV,form4_cluster_buy,2026-02-05T00:00:00,2026-02-06,2026-05-08,63,0.248829,SPY,0.070972,0.177857,ok
f4_CING_2026-02-10,CING,form4_cluster_buy,2026-02-10T00:00:00,2026-02-11,2026-05-13,63,-0.251142,SPY,0.075694,-0.326836,ok
f4_LUCK_2026-02-13,LUCK,form4_cluster_buy,2026-02-13T00:00:00,2026-02-17,2026-05-18,63,0.027793,SPY,0.084671,-0.056877,ok
f4_CNVS_2026-02-17,CNVS,form4_cluster_buy,2026-02-17T00:00:00,2026-02-18,2026-05-19,63,-0.175084,SPY,0.072045,-0.247129,ok
f4_TLSI_2026-02-23,TLSI,form4_cluster_buy,2026-02-23T00:00:00,2026-02-24,2026-05-26,63,-0.394737,SPY,0.094988,-0.489725,ok
f4_TBI_2026-02-26,TBI,form4_cluster_buy,2026-02-26T00:00:00,2026-02-27,2026-05-29,63,0.468085,SPY,0.105768,0.362317,ok
f4_CTEV_2026-03-02,CTEV,form4_cluster_buy,2026-03-02T00:00:00,2026-03-03,2026-06-02,63,0.675931,SPY,0.119522,0.556409,ok
f4_LEE_2026-03-03,LEE,form4_cluster_buy,2026-03-03T00:00:00,2026-03-04,2026-06-03,63,0.163577,SPY,0.103878,0.059699,ok
f4_LAW_2026-03-04,LAW,form4_cluster_buy,2026-03-04T00:00:00,2026-03-05,2026-06-04,63,-0.162393,SPY,0.114262,-0.276655,ok
f4_SLRC_2026-03-05,SLRC,form4_cluster_buy,2026-03-05T00:00:00,2026-03-06,2026-06-05,63,-0.091117,SPY,0.09992,-0.191037,ok
f4_NCDL_2026-03-06,NCDL,form4_cluster_buy,2026-03-06T00:00:00,2026-03-09,2026-06-08,63,-0.024516,SPY,0.092837,-0.117353,ok
f4_NMFC_2026-03-06,NMFC,form4_cluster_buy,2026-03-06T00:00:00,2026-03-09,2026-06-08,63,0.019342,SPY,0.092837,-0.073495,ok
f4_LYEL_2026-03-09,LYEL,form4_cluster_buy,2026-03-09T00:00:00,2026-03-10,2026-06-09,63,-0.504487,SPY,0.091383,-0.59587,ok
f4_TKNO_2026-03-09,TKNO,form4_cluster_buy,2026-03-09T00:00:00,2026-03-10,2026-06-09,63,0.728682,SPY,0.091383,0.637299,ok
f4_SSP_2026-03-10,SSP,form4_cluster_buy,2026-03-10T00:00:00,2026-03-11,2026-06-10,63,-0.258993,SPY,0.075527,-0.33452,ok
f4_TCPC_2026-03-10,TCPC,form4_cluster_buy,2026-03-10T00:00:00,2026-03-11,2026-06-10,63,0.037861,SPY,0.075527,-0.037666,ok
f4_EML_2026-03-11,EML,form4_cluster_buy,2026-03-11T00:00:00,2026-03-12,2026-06-11,63,0.025487,SPY,0.110673,-0.085186,ok
f4_COFS_2026-03-12,COFS,form4_cluster_buy,2026-03-12T00:00:00,2026-03-13,2026-06-12,63,0.195229,SPY,0.123036,0.072193,ok
f4_KRRO_2026-03-12,KRRO,form4_cluster_buy,2026-03-12T00:00:00,2026-03-13,2026-06-12,63,-0.092969,SPY,0.123036,-0.216005,ok
f4_BWFG_2026-03-13,BWFG,form4_cluster_buy,2026-03-13T00:00:00,2026-03-16,2026-06-15,63,0.180162,SPY,0.131327,0.048836,ok
f4_ADV_2026-03-13,ADV,form4_cluster_buy,2026-03-13T00:00:00,2026-03-16,2026-06-15,63,0.997433,SPY,0.131327,0.866106,ok
f4_AVBC_2026-03-13,AVBC,form4_cluster_buy,2026-03-13T00:00:00,2026-03-16,2026-06-15,63,0.040688,SPY,0.131327,-0.090639,ok
f4_ALTG_2026-03-16,ALTG,form4_cluster_buy,2026-03-16T00:00:00,2026-03-17,2026-06-16,63,0.184943,SPY,0.121632,0.063311,ok
f4_GRNT_2026-03-16,GRNT,form4_cluster_buy,2026-03-16T00:00:00,2026-03-17,2026-06-16,63,-0.096646,SPY,0.121632,-0.218277,ok
f4_OSUR_2026-03-16,OSUR,form4_cluster_buy,2026-03-16T00:00:00,2026-03-17,2026-06-16,63,0.449664,SPY,0.121632,0.328033,ok
f4_SENS_2026-03-16,SENS,form4_cluster_buy,2026-03-16T00:00:00,2026-03-17,2026-06-16,63,0.114022,SPY,0.121632,-0.00761,ok
