event_id,ticker,event_type,event_ts,entry_date,exit_date,horizon,event_ret,control,control_ret,abnormal_ret,exit_status
f4_WEST_2025-03-18,WEST,form4_cluster_buy,2025-03-18T00:00:00,2025-03-19,2025-06-18,63,-0.042489,SPY,0.056613,-0.099102,ok
f4_MG_2025-03-20,MG,form4_cluster_buy,2025-03-20T00:00:00,2025-03-21,2025-06-23,63,-0.274102,SPY,0.067279,-0.341381,ok
f4_SRBK_2025-03-20,SRBK,form4_cluster_buy,2025-03-20T00:00:00,2025-03-21,2025-06-23,63,0.125923,SPY,0.067279,0.058644,ok
f4_IMMR_2025-03-24,IMMR,form4_cluster_buy,2025-03-24T00:00:00,2025-03-25,2025-06-25,63,-0.016366,SPY,0.058136,-0.074501,ok
f4_GWRS_2025-03-31,GWRS,form4_cluster_buy,2025-03-31T00:00:00,2025-04-01,2025-07-02,63,0.004396,SPY,0.109301,-0.104904,ok
f4_CATX_2025-04-01,CATX,form4_cluster_buy,2025-04-01T00:00:00,2025-04-02,2025-07-03,63,0.795122,SPY,0.111012,0.68411,ok
f4_DOMO_2025-04-04,DOMO,form4_cluster_buy,2025-04-04T00:00:00,2025-04-07,2025-07-09,63,1.086351,SPY,0.240939,0.845412,ok
f4_RGP_2025-04-08,RGP,form4_cluster_buy,2025-04-08T00:00:00,2025-04-09,2025-07-11,63,0.013283,SPY,0.140067,-0.126784,ok
f4_JMSB_2025-04-29,JMSB,form4_cluster_buy,2025-04-29T00:00:00,2025-04-30,2025-07-31,63,0.088301,SPY,0.143197,-0.054896,ok
f4_FNLC_2025-04-30,FNLC,form4_cluster_buy,2025-04-30T00:00:00,2025-05-01,2025-08-01,63,0.030784,SPY,0.116547,-0.085763,ok
f4_TCBX_2025-04-30,TCBX,form4_cluster_buy,2025-04-30T00:00:00,2025-05-01,2025-08-01,63,0.199274,SPY,0.116547,0.082727,ok
f4_RGR_2025-05-08,RGR,form4_cluster_buy,2025-05-08T00:00:00,2025-05-09,2025-08-11,63,-0.04538,SPY,0.130169,-0.175549,ok
f4_HCWB_2025-05-09,HCWB,form4_cluster_buy,2025-05-09T00:00:00,2025-05-12,2025-08-12,63,-0.140115,SPY,0.105662,-0.245777,ok
f4_ONEW_2025-05-09,ONEW,form4_cluster_buy,2025-05-09T00:00:00,2025-05-12,2025-08-12,63,0.052359,SPY,0.105662,-0.053303,ok
f4_LUCK_2025-05-12,LUCK,form4_cluster_buy,2025-05-12T00:00:00,2025-05-13,2025-08-13,63,0.088613,SPY,0.102168,-0.013556,ok
f4_MAGN_2025-05-12,MAGN,form4_cluster_buy,2025-05-12T00:00:00,2025-05-13,2025-08-13,63,-0.09103,SPY,0.102168,-0.193198,ok
f4_OFIX_2025-05-12,OFIX,form4_cluster_buy,2025-05-12T00:00:00,2025-05-13,2025-08-13,63,0.128903,SPY,0.102168,0.026735,ok
f4_CVRX_2025-05-14,CVRX,form4_cluster_buy,2025-05-14T00:00:00,2025-05-15,2025-08-15,63,0.135703,SPY,0.092948,0.042755,ok
f4_LILA_2025-05-14,LILA,form4_cluster_buy,2025-05-14T00:00:00,2025-05-15,2025-08-15,63,0.467167,SPY,0.092948,0.374219,ok
f4_NEWT_2025-05-15,NEWT,form4_cluster_buy,2025-05-15T00:00:00,2025-05-16,2025-08-18,63,0.092295,SPY,0.085833,0.006462,ok
f4_PMTS_2025-05-15,PMTS,form4_cluster_buy,2025-05-15T00:00:00,2025-05-16,2025-08-18,63,-0.354158,SPY,0.085833,-0.439991,ok
